452720,322110
453430,322330
453820,322590
453940,322850
454110,323270
454220,323670
454360,324340
454460,325030
454560,325830
454560,325830
x,x
447410,399180
447260,399800
446860,400570
446310,401300
445610,402050
445130,402500
444440,403090
443810,403550
442880,404070
441960,404440
441440,404500
x,x
373850,404500
373060,404400
372540,404260
371610,403830
370910,403430
370170,402900
369330,402240
368430,401430
367590,400550
366690,399460
365950,398510
365390,397610
364880,396630
364590,395810
364440,395160
364440,395160
364420,394660
x,x
364420,321860
364470,321380
364560,320820
364560,320820
364680,320370
364820,319820
364990,319820
365150,318970
365390,318430
365740,317800
366020,317300
366410,316780
366660,316480
366940,316210
367460,315740
