unixTime,stdTime,AUTO,Trust_Controller_ON,position_x,position_y,speed,orientation,obstacleIndex,roadCondition,pilotState,pilotFocus,pilotPerformance,pilotUsage,pilotTrustEstimate
1576701511.9401052,03:38:31:940105 PM 12-18-2019,False,False,0.0,0.0,1.0713698372910585e-07,1.6962171748470343,0,straight,calib,0.0,0,0.0,0.0
1576701512.0432334,03:38:32:043233 PM 12-18-2019,False,False,0.0,0.0,-2.7041944576922106e-06,1.6962171748543766,0,straight,calib,0.0,0,0.0,0.0
1576701512.1452858,03:38:32:145286 PM 12-18-2019,False,False,0.0,0.0,6.933456006663619e-06,1.6962168383424088,0,straight,calib,0.0,0,0.0,0.0
1576701512.2473698,03:38:32:247369 PM 12-18-2019,False,False,0.0,0.0,5.5191503633977845e-06,1.6962170171665258,0,straight,calib,0.0,0,0.0,0.0
1576701512.3491116,03:38:32:349111 PM 12-18-2019,False,False,0.0,0.0,-6.178650551191822e-07,1.696216838316613,0,straight,calib,0.0,0,0.0,0.0
1576701512.4509077,03:38:32:450907 PM 12-18-2019,False,False,0.0,0.0,-5.258161763777025e-06,1.696216996007345,0,straight,calib,0.0,0,0.0,0.0
1576701512.5522192,03:38:32:552219 PM 12-18-2019,False,False,0.0,0.0,-7.932226253615227e-06,1.6962171748470343,0,straight,calib,0.0,0,0.0,0.0
1576701512.6537633,03:38:32:653763 PM 12-18-2019,False,False,0.0,0.0,1.2919565961055923e-05,1.6962168383386977,0,straight,calib,0.0,0,0.0,0.0
1576701512.7545223,03:38:32:754522 PM 12-18-2019,False,False,0.0,0.0,0.0,1.6962168383350094,0,straight,calib,0.0,0,0.0,0.0
1576701512.855812,03:38:32:855812 PM 12-18-2019,False,False,0.0,0.0,-4.074484877492068e-06,1.6962168383165914,0,straight,calib,0.0,0,0.0,0.0
1576701512.957565,03:38:32:957565 PM 12-18-2019,False,False,0.0,0.0,-7.58957094149082e-06,1.6962168383386869,0,straight,calib,0.0,0,0.0,0.0
1576701513.0597248,03:38:33:059724 PM 12-18-2019,False,False,0.0,0.0,1.3173945262678899e-05,1.696217174854392,0,straight,calib,0.0,0,0.0,0.0
1576701513.1613731,03:38:33:161373 PM 12-18-2019,False,False,0.0,0.0,1.268678988708416e-05,1.6962171748654615,0,straight,calib,0.0,0,0.0,0.0
1576701513.263019,03:38:33:263019 PM 12-18-2019,False,False,0.0,0.0,9.16670796868857e-06,1.6962171748581014,0,straight,calib,0.0,0,0.0,0.0
1576701513.3649998,03:38:33:364999 PM 12-18-2019,False,False,0.0,0.0,6.272512564464705e-06,1.6962171748507082,0,straight,calib,0.0,0,0.0,0.0
1576701513.466064,03:38:33:466063 PM 12-18-2019,False,False,0.0,0.0,-8.296991836687084e-06,1.6962168383387006,0,straight,calib,0.0,0,0.0,0.0
1576701513.5671058,03:38:33:567105 PM 12-18-2019,False,False,0.0,0.0,1.5002168765931856e-05,1.6962171748653878,0,straight,calib,0.0,0,0.0,0.0
1576701513.668032,03:38:33:668031 PM 12-18-2019,False,False,0.0,0.0,-1.669663333814242e-06,1.69621701716583,0,straight,calib,0.0,0,0.0,0.0
1576701513.7692277,03:38:33:769227 PM 12-18-2019,False,False,0.0,0.0,-3.874017693306087e-06,1.6962171748470345,0,straight,calib,0.0,0,0.0,0.0
1576701513.8706958,03:38:33:870696 PM 12-18-2019,False,False,0.0,0.0,4.300098225940019e-06,1.696217174847034,0,straight,calib,0.0,0,0.0,0.0
1576701513.9724267,03:38:33:972426 PM 12-18-2019,False,False,0.0,0.0,-1.0465335435583256e-05,1.6962168383166567,0,straight,calib,0.0,0,0.0,0.0
1576701514.0745273,03:38:34:074527 PM 12-18-2019,False,False,0.0,0.0,-2.829657205438707e-06,1.6962171748286106,0,straight,calib,0.0,0,0.0,0.0
1576701514.1755414,03:38:34:175541 PM 12-18-2019,False,False,0.0,0.0,-5.931599844188895e-06,1.6962168383350094,0,straight,calib,0.0,0,0.0,0.0
1576701514.2774136,03:38:34:277413 PM 12-18-2019,False,False,0.0,0.0,-8.177666131814476e-06,1.6962168383350094,0,straight,calib,0.0,0,0.0,0.0
1576701514.3790803,03:38:34:379080 PM 12-18-2019,False,False,0.0,0.0,1.4315698535938282e-05,1.6962171748617285,0,straight,calib,0.0,0,0.0,0.0
1576701514.4800174,03:38:34:480017 PM 12-18-2019,False,False,0.0,0.0,2.0388763743994787e-07,1.6962168383497982,0,straight,calib,0.0,0,0.0,0.0
1576701514.5808513,03:38:34:580851 PM 12-18-2019,False,False,0.0,0.0,1.3195591236581095e-05,1.69621717486922,0,straight,calib,0.0,0,0.0,0.0
1576701514.6821592,03:38:34:682159 PM 12-18-2019,False,False,0.0,0.0,-1.0210344044025987e-05,1.6962168383423903,0,straight,calib,0.0,0,0.0,0.0
1576701514.783468,03:38:34:783468 PM 12-18-2019,False,False,0.0,0.0,-1.0804282283061184e-05,1.6962168383165372,0,straight,calib,0.0,0,0.0,0.0
1576701514.88492,03:38:34:884919 PM 12-18-2019,False,False,0.0,0.0,1.0985003200403298e-06,1.6962168383681735,0,straight,calib,0.0,0,0.0,0.0
1576701514.9867165,03:38:34:986716 PM 12-18-2019,False,False,0.0,0.0,4.6088830458757e-06,1.6962171748470345,0,straight,calib,0.0,0,0.0,0.0
1576701515.088218,03:38:35:088217 PM 12-18-2019,False,False,0.0,0.0,4.408677796163829e-06,1.6962168383386782,0,straight,calib,0.0,0,0.0,0.0
1576701515.1901324,03:38:35:190132 PM 12-18-2019,False,False,0.0,0.0,4.445061222213553e-06,1.6962171748470343,0,straight,calib,0.0,0,0.0,0.0
1576701515.2916815,03:38:35:291681 PM 12-18-2019,False,False,0.0,0.0,0.0,1.6962168383423657,0,straight,calib,0.0,0,0.0,0.0
1576701515.3930128,03:38:35:393012 PM 12-18-2019,False,False,0.0,0.0,-2.1205538303092908e-07,1.6962168383423135,0,straight,calib,0.0,0,0.0,0.0
1576701515.4943533,03:38:35:494353 PM 12-18-2019,False,False,0.0,0.0,1.8248704236611957e-06,1.6962171748689545,0,straight,calib,0.0,0,0.0,0.0
1576701515.5959713,03:38:35:595971 PM 12-18-2019,True,False,0.0,0.0,1.4732067938894033e-05,1.6962170171765347,0,straight,calib,0.0,0,0.004884226166518789,0.0
1576701515.6974626,03:38:35:697462 PM 12-18-2019,True,False,0.0,0.0009374999790452421,0.021490847691893578,1.6962157408350191,0,straight,calib,0.0,0,0.022210124709935206,0.0
1576701515.800081,03:38:35:800080 PM 12-18-2019,True,False,-0.0003124999930150807,0.004999999888241291,0.11136139929294586,1.6962082332685442,0,straight,calib,0.0,0,0.03872209725651769,0.0
1576701515.9022634,03:38:35:902263 PM 12-18-2019,True,False,-0.0034374999813735485,0.027187500149011612,0.3893422484397888,1.6961482350359756,0,straight,calib,0.0,0,0.05476402873697214,0.0
1576701516.0041232,03:38:36:004123 PM 12-18-2019,True,False,-0.010625000111758709,0.08531250059604645,0.7201767563819885,1.6959777611093751,0,straight,calib,0.0,0,0.07000026974113485,0.0
1576701516.1058955,03:38:36:105895 PM 12-18-2019,True,False,-0.020624998956918716,0.1665624976158142,1.0124034881591797,1.6957923708144635,0,straight,calib,0.0,0,0.08445936758731233,0.0
1576701516.2080536,03:38:36:208053 PM 12-18-2019,True,False,-0.034062501043081284,0.27406248450279236,1.2961057424545288,1.6955827245529156,0,straight,calib,0.0,0,0.0983063266638575,0.0
1576701516.3089235,03:38:36:308923 PM 12-18-2019,True,False,-0.05312499776482582,0.406562477350235,1.5813900232315063,1.6953369976738728,0,straight,calib,0.0,0,0.1137163734575307,0.0
1576701516.4115562,03:38:36:411556 PM 12-18-2019,True,False,-0.07437499612569809,0.5987499952316284,1.916123628616333,1.6950378022866506,0,straight,calib,0.0,0,0.12671467723458843,0.0
1576701516.5130322,03:38:36:513032 PM 12-18-2019,True,False,-0.10093750059604645,0.8218749761581421,2.2381322383880615,1.694432526931492,0,straight,calib,0.003025862281207015,0,0.13968330547327723,0.0
1576701516.614615,03:38:36:614615 PM 12-18-2019,True,False,-0.1274999976158142,1.0434374809265137,2.519958734512329,1.6937369349744047,0,straight,calib,0.01867235248728924,0,0.1523807301799664,0.0
1576701516.7165277,03:38:36:716527 PM 12-18-2019,True,False,-0.15812499821186066,1.2962499856948853,2.805541515350342,1.6929610073584107,0,straight,calib,0.023202595461065702,0,0.16444690499167386,0.0
