unixTime,stdTime,AUTO,Trust_Controller_ON,position_x,position_y,speed,orientation,obstacleIndex,roadCondition,pilotState,pilotFocus,pilotPerformance,pilotUsage,pilotTrustEstimate
1576874025.113676,03:33:45:113676 PM 12-20-2019,False,False,0.0,0.0,-4.530105712774457e-08,-1.9853337414728565,0,curvy,calib,0.0,0,0.0,0.0
1576874025.2163105,03:33:45:216310 PM 12-20-2019,False,False,0.0012499999720603228,0.004999999888241291,-0.0,-1.9853568096676557,0,curvy,calib,0.0,0,0.0,0.0
1576874025.3187454,03:33:45:318745 PM 12-20-2019,False,False,0.0012499999720603228,0.004999999888241291,-0.0,-1.9853568096676557,0,curvy,calib,0.0,0,0.0,0.0
1576874025.4206479,03:33:45:420647 PM 12-20-2019,False,False,0.0012499999720603228,0.004999999888241291,-0.0,-1.9853568096676557,0,curvy,calib,0.0,0,0.0,0.0
1576874025.5223734,03:33:45:522373 PM 12-20-2019,False,False,0.0012499999720603228,0.004999999888241291,-0.0,-1.9853568096676557,0,curvy,calib,0.0,0,0.0,0.0
1576874025.624016,03:33:45:624016 PM 12-20-2019,False,False,0.0012499999720603228,0.004999999888241291,-0.0,-1.9853568096676557,0,curvy,calib,0.0,0,0.0,0.0
1576874025.7256727,03:33:45:725672 PM 12-20-2019,False,False,0.0012499999720603228,0.004999999888241291,-0.0,-1.9853568096676557,0,curvy,calib,0.0,0,0.0,0.0
1576874025.827621,03:33:45:827620 PM 12-20-2019,False,False,0.0012499999720603228,0.004999999888241291,-0.0,-1.9853568096676557,0,curvy,calib,0.0,0,0.0,0.0
1576874025.9294944,03:33:45:929494 PM 12-20-2019,False,False,0.0012499999720603228,0.004999999888241291,-0.0,-1.9853568096676557,0,curvy,calib,0.0,0,0.0,0.0
1576874026.031441,03:33:46:031440 PM 12-20-2019,False,False,0.0012499999720603228,0.004999999888241291,-0.0,-1.9853568096676557,0,curvy,calib,0.0,0,0.0,0.0
1576874026.133951,03:33:46:133951 PM 12-20-2019,False,False,0.0012499999720603228,0.004999999888241291,-0.0,-1.9853568096676557,0,curvy,calib,0.0,0,0.0,0.0
1576874026.2347753,03:33:46:234775 PM 12-20-2019,False,False,0.0012499999720603228,0.004999999888241291,-0.0,-1.9853568096676557,0,curvy,calib,0.0,0,0.0,0.0
1576874026.3368351,03:33:46:336835 PM 12-20-2019,False,False,0.0012499999720603228,0.004999999888241291,-0.0,-1.9853568096676557,0,curvy,calib,0.0,0,0.0,0.0
1576874026.4383163,03:33:46:438316 PM 12-20-2019,False,False,0.0012499999720603228,0.004999999888241291,-0.0,-1.9853568096676557,0,curvy,calib,0.0,0,0.0,0.0
1576874026.539284,03:33:46:539284 PM 12-20-2019,False,False,0.0012499999720603228,0.004999999888241291,-0.0,-1.9853568096676557,0,curvy,calib,0.0,0,0.0,0.0
1576874026.6402862,03:33:46:640286 PM 12-20-2019,False,False,0.0012499999720603228,0.004999999888241291,-0.0,-1.9853568096676557,0,curvy,calib,0.0,0,0.0,0.0
1576874026.7414207,03:33:46:741420 PM 12-20-2019,False,False,0.0012499999720603228,0.004999999888241291,-0.0,-1.9853568096676557,0,curvy,calib,0.0,0,0.0,0.0
1576874026.842667,03:33:46:842666 PM 12-20-2019,False,False,0.0012499999720603228,0.004999999888241291,-0.0,-1.9853568096676557,0,curvy,calib,0.0,0,0.0,0.0
1576874026.943909,03:33:46:943908 PM 12-20-2019,False,False,0.0012499999720603228,0.004999999888241291,-0.0,-1.9853568096676557,0,curvy,calib,0.0,0,0.0,0.0
1576874027.0448632,03:33:47:044863 PM 12-20-2019,False,False,0.0012499999720603228,0.004999999888241291,-0.0,-1.9853568096676557,0,curvy,calib,0.0,0,0.0,0.0
1576874027.1458716,03:33:47:145871 PM 12-20-2019,False,False,0.0012499999720603228,0.004999999888241291,-0.0,-1.9853568096676557,0,curvy,calib,0.0,0,0.0,0.0
1576874027.2476144,03:33:47:247614 PM 12-20-2019,False,False,0.0012499999720603228,0.004999999888241291,-0.0,-1.9853568096676557,0,curvy,calib,0.0,0,0.0,0.0
1576874027.349134,03:33:47:349134 PM 12-20-2019,False,False,0.0012499999720603228,0.004999999888241291,-0.0,-1.9853568096676557,0,curvy,calib,0.0,0,0.0,0.0
1576874027.4507375,03:33:47:450737 PM 12-20-2019,False,False,0.0012499999720603228,0.004999999888241291,-0.0,-1.9853568096676557,0,curvy,calib,0.0,0,0.0,0.0
1576874027.5520895,03:33:47:552089 PM 12-20-2019,False,False,0.0012499999720603228,0.004999999888241291,-0.0,-1.9853568096676557,0,curvy,calib,0.0,0,0.0,0.0
1576874027.6540084,03:33:47:654008 PM 12-20-2019,False,False,0.0012499999720603228,0.004999999888241291,-0.0,-1.9853568096676557,0,curvy,calib,0.0,0,0.0,0.0
1576874027.755151,03:33:47:755151 PM 12-20-2019,False,False,0.0012499999720603228,0.004999999888241291,-0.0,-1.9853568096676557,0,curvy,calib,0.0,0,0.0,0.0
1576874027.8569305,03:33:47:856930 PM 12-20-2019,False,False,0.0012499999720603228,0.004999999888241291,-1.1141919458168559e-05,-1.9853568007122655,0,curvy,calib,0.0,0,0.0,0.0
1576874027.9590235,03:33:47:959023 PM 12-20-2019,False,False,0.0012499999720603228,0.004999999888241291,-3.157314131385647e-05,-1.985356993063846,0,curvy,calib,0.0,0,0.0,0.0
1576874028.0602722,03:33:48:060272 PM 12-20-2019,False,False,0.0012499999720603228,0.004999999888241291,-9.172707905236166e-06,-1.985356807060019,0,curvy,calib,0.0,0,0.0,0.0
