unixTime,stdTime,AUTO,Trust_Controller_ON,position_x,position_y,speed,orientation,obstacleIndex,roadCondition,pilotState,pilotFocus,pilotPerformance,pilotUsage,pilotTrustEstimate
1576517928.477385,12:38:48:477384 PM 12-16-2019,False,False,0.0,0.0,4.3083108636210454e-08,1.6962171748470343,0,straight,calib,0.0,0,0.0,0.0
1576517928.579564,12:38:48:579564 PM 12-16-2019,False,False,0.0,0.0,4.702160367742181e-06,1.6962168383496679,0,straight,calib,0.0,0,0.0,0.0
1576517928.681397,12:38:48:681397 PM 12-16-2019,False,False,0.0,0.0,-4.260848982085008e-06,1.6962171748544106,0,straight,calib,0.0,0,0.0,0.0
1576517928.7836156,12:38:48:783615 PM 12-16-2019,False,False,0.0,0.0,6.014377504470758e-06,1.6962168383350091,0,straight,calib,0.0,0,0.0,0.0
1576517928.884401,12:38:48:884401 PM 12-16-2019,False,False,0.0,0.0,8.235965651692823e-06,1.6962168383460021,0,straight,calib,0.0,0,0.0,0.0
1576517928.9857688,12:38:48:985768 PM 12-16-2019,False,False,0.0,0.0,1.4531217402691254e-06,1.6962171748507147,0,straight,calib,0.0,0,0.0,0.0
1576517929.0873737,12:38:49:087373 PM 12-16-2019,False,False,0.0,0.0,-2.0371488062664866e-05,1.6962171748470343,0,straight,calib,0.0,0,0.0,0.0
1576517929.1894186,12:38:49:189418 PM 12-16-2019,False,False,0.0,0.0,6.333773853839375e-06,1.696217174858044,0,straight,calib,0.0,0,0.0,0.0
1576517929.2915454,12:38:49:291545 PM 12-16-2019,False,False,0.0,0.0,6.3361471802636515e-06,1.6962171748507073,0,straight,calib,0.0,0,0.0,0.0
1576517929.392979,12:38:49:392978 PM 12-16-2019,False,False,0.0,0.0,1.2150142083555693e-06,1.696217174861704,0,straight,calib,0.0,0,0.0,0.0
1576517929.494504,12:38:49:494503 PM 12-16-2019,False,False,0.0,0.0,-7.716555955994409e-06,1.696216838342393,0,straight,calib,0.0,0,0.0,0.0
1576517929.5954304,12:38:49:595430 PM 12-16-2019,False,False,0.0,0.0,-5.099752343085129e-06,1.696217174850723,0,straight,calib,0.0,0,0.0,0.0
1576517929.6973937,12:38:49:697393 PM 12-16-2019,False,False,0.0,0.0,-5.862576017534593e-06,1.696216838342394,0,straight,calib,0.0,0,0.0,0.0
1576517929.798438,12:38:49:798438 PM 12-16-2019,False,False,0.0,0.0,4.039008672407363e-06,1.6962168383570713,0,straight,calib,0.0,0,0.0,0.0
1576517929.8999622,12:38:49:899962 PM 12-16-2019,False,False,0.0,0.0,7.390071459667524e-06,1.6962171748470343,0,straight,calib,0.0,0,0.0,0.0
